accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,9872;0,49859;0,01;0,020630000000000003;0,00632;laplace;1;1;0,046380000000000005;dedpul;0,3746;0,0511;0,046380000000000005;0,0;0;0,0;0,10415999999999999;0,41686000000000006
0,99;0,5;0,01;0,01316;0,00632;laplace;1;1;0,02315;dedpul_GMM;0,28261;0,027089999999999996;0,02315;0,0;0;0,0;0,05781;0,42049
0,9899;0,49995;0,01;0,07509;0,00632;laplace;1;1;0,26011;dedpul_hist;0,32406999999999997;0,25486;0,26011999999999996;0,0;0;0,0;0,25938;0,41385
0,9806;0,49525;0,01;0,06145;0,00632;laplace;1;1;0,14300000000000002;dedpul_no_heur;0,3021;0,17744000000000001;0,18106;0,0;0;0,0;0,22933;0,38836
0,985;0,49746999999999997;0,01;0,07017000000000001;0,00632;laplace;1;1;0,3018;baseline_dedpul;0,38837;0,19622;0,19709000000000002;0,0;0;0,0;0,2478;0,38652
0,9899;0,49995;0,01;0,01311;0,00632;laplace;1;1;0,0;e1_en;0,26821999999999996;0,030610000000000002;0,02822;0,0;0;0,0;0,0575;0,39651
0,9898;0,4999;0,01;0,02422;0,00632;laplace;1;1;0,1047;e3_en;0,1674;0,10305;0,10779000000000001;0,0;0;0,0;0,12253;0,38749
0,9899;0,49995;0,01;0,014730000000000002;0,00632;laplace;1;1;0,028999999999999998;em_en;0,20817;0,0457;0,045380000000000004;0,0;0;0,0;0,07103;0,39229
0,9872;0,49859;0,01;0,01226;0,00632;laplace;1;1;-0,18673;dedpul_poster;0,34949;0,0122;0,0063100000000000005;0,0;0;0,0;0,048839999999999995;0,43473999999999996
0,99;0,5;0,01;0,01055;0,00632;laplace;1;1;-0,1049;dedpul_GMM_poster;0,34885;0,012459999999999999;0,00633;0,0;0;0,0;0,02605;0,46307
0,9899;0,49995;0,01;0,01012;0,00632;laplace;1;1;-0,03855;dedpul_hist_poster;0,25288;0,009590000000000001;0,00632;0,0;0;0,0;0,01629;0,41247
