dataset;alpha;baseline_dedpul;brier_nnre;dedpul;e1_en;e3_en;em_en;random_dedpul;sigmoid_nnre
bank;0,05;0,051999999999999935;0,04747499999999982;0,051999999999999935;0,053549999999999875;0,053549999999999875;0,053549999999999875;0,051999999999999935;0,04787999999999992
bank;0,25;0,19947499999999996;0,18557499999999982;0,19947499999999996;0,19732499999999986;0,19732499999999986;0,19732499999999986;0,19947499999999996;0,19208999999999998
bank;0,5;0,24059999999999993;0,23672500000000007;0,24059999999999993;0,2421000000000001;0,2421000000000001;0,2421000000000001;0,24059999999999993;0,2637599999999999
bank;0,75;0,18384999999999996;0,18355;0,18384999999999996;0,19115000000000004;0,19115000000000004;0,19115000000000004;0,18384999999999996;0,25
bank;0,95;0,05085000000000017;0,050000000000000044;0,05085000000000017;0,052099999999999924;0,052099999999999924;0,052099999999999924;0,05085000000000017;0,050000000000000044
concrete;0,05;0,05500000000000005;0,050000000000000044;0,05500000000000005;0,18474999999999997;0,18474999999999997;0,18474999999999997;0,05500000000000005;0,050000000000000044
concrete;0,25;0,16500000000000004;0,17173199999999988;0,16500000000000004;0,26634599999999997;0,26634599999999997;0,26634599999999997;0,16500000000000004;0,17749000000000004
concrete;0,5;0,19025499999999984;0,19230800000000003;0,19025499999999984;0,24512900000000004;0,24512900000000004;0,24512900000000004;0,19025499999999984;0,19999
concrete;0,75;0,12097200000000008;0,1298600000000001;0,12097200000000008;0,11902800000000013;0,11902800000000013;0,11902800000000013;0,12097200000000008;0,1605399999999999
concrete;0,95;0,03063400000000005;0,048241999999999896;0,03063400000000005;0,03292200000000012;0,03292200000000012;0,03292200000000012;0,03063400000000005;0,04930000000000001
housing;0,05;;0,050000000000000044;;;;;;0,05312000000000017
housing;0,25;;0,17594299999999985;;;;;;0,17830999999999997
housing;0,5;;0,20094299999999987;;;;;;0,19497999999999993
housing;0,75;;0,10959600000000003;;;;;;0,11970999999999987
housing;0,95;;0,036219;;;;;;0,04810000000000003
landsat;0,05;0,037073000000000134;0,04386100000000004;0,037073000000000134;0,06435000000000013;0,06435000000000013;0,06435000000000013;0,037073000000000134;0,04597999999999991
landsat;0,25;0,07060999999999995;0,07705099999999998;0,07060999999999995;0,09172999999999987;0,09172999999999987;0,09172999999999987;0,07060999999999995;0,08287
landsat;0,5;0,06537800000000016;0,070496;0,06537800000000016;0,07572999999999985;0,07572999999999985;0,07572999999999985;0,06537800000000016;0,07477999999999996
landsat;0,75;0,03860000000000008;0,045375000000000165;0,03860000000000008;0,04354999999999998;0,04354999999999998;0,04354999999999998;0,03860000000000008;0,047640000000000016
landsat;0,95;0,011340000000000017;0,011764000000000108;0,011340000000000017;0,013588999999999962;0,013588999999999962;0,013588999999999962;0,011340000000000017;0,01265000000000005
mnist;0,05;0,05315000000000014;0,049474999999999936;0,05315000000000014;0,2311249999999999;0,2311249999999999;0,2311249999999999;0,05315000000000014;0,05152000000000001
mnist;0,25;0,11599999999999999;0,11385;0,11599999999999999;0,23045000000000004;0,23045000000000004;0,23045000000000004;0,11599999999999999;0,14037999999999984
mnist;0,5;0,0933250000000001;0,10005000000000008;0,0933250000000001;0,16152499999999992;0,16152499999999992;0,16152499999999992;0,0933250000000001;0,12513000000000007
mnist;0,75;0,06059999999999999;0,07452500000000006;0,06059999999999999;0,09127499999999988;0,09127499999999988;0,09127499999999988;0,06059999999999999;0,09819
mnist;0,95;0,018424999999999914;0,02192499999999986;0,018424999999999914;0,023125000000000062;0,023125000000000062;0,023125000000000062;0,018424999999999914;0,027900000000000036
mnist_2;0,05;;0,051324999999999954;;;;;;0,054119999999999946
mnist_2;0,25;;0,13160000000000005;;;;;;0,15764
