dataset;alpha;KM;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
bank;0,05;0,054749999999999986;0,12484900000000002;0,03283300000000001;0,040734;0,22529399999999997;0,08229800000000001;0,03283300000000001
bank;0,25;0,04520999999999999;0,03796199999999998;0,097589;0,19494899999999998;0,09833700000000001;0,029101999999999996;0,097589
bank;0,5;0,04789000000000001;0,046406;0,092356;0,331752;0,04954099999999999;0,080471;0,092356
bank;0,75;0,06744000000000001;0,070061;0,10541799999999997;0,40842199999999995;0,072323;0,080919;0,10541799999999997
bank;0,95;0,07579999999999998;0,1452949999999999;0,08944099999999996;0,453374;0,19087399999999993;0,07972;0,08944099999999996
concrete;0,05;0,42606;0,43331;0,043151;0,049999999999999996;0,45059400000000005;0,569843;0,043151
concrete;0,25;0,18684;0,26241900000000007;0,09406499999999998;0,25;0,296469;0,5143150000000001;0,09406499999999998
concrete;0,5;0,13781;0,07647400000000001;0,139618;0,478695;0,12309800000000001;0,296;0,139618
concrete;0,75;0,12721999999999997;0,03129;0,050963000000000015;0,267089;0,036381999999999984;0,108731;0,050963000000000015
concrete;0,95;0,09652999999999998;0,14515300000000003;0,017203999999999997;0,21026700000000004;0,20838399999999999;0,0069579999999999755;0,017203999999999997
housing;0,05;0,6972999999999999;;;;;;
housing;0,25;0,23125;;;;;;
housing;0,5;0,1451;;;;;;
housing;0,75;0,1001;;;;;;
housing;0,95;0,07453999999999997;;;;;;
landsat;0,05;0,5806199999999999;0,20720900000000003;0,019089;0,048707999999999994;0,218115;0,281994;0,019089
landsat;0,25;0,021630000000000003;0,13417600000000002;0,01836999999999999;0,133069;0,16660499999999998;0,1606;0,01836999999999999
landsat;0,5;0,009410000000000012;0,122967;0,019620000000000016;0,13108599999999998;0,100903;0,045200000000000004;0,019620000000000016
landsat;0,75;0,009530000000000016;0,05154399999999999;0,006037999999999988;0,12288299999999999;0,029000000000000026;0,02899999999999998;0,006037999999999988
landsat;0,95;0,0040000000000000036;0,16016399999999997;0,002045999999999981;0,09128499999999999;0,2583059999999999;0,015851999999999998;0,002045999999999981
mnist;0,05;0,07126;0,13847199999999998;0,0158;0,049999999999999996;0,37653400000000004;0,7602;0,0158
mnist;0,25;0,08233;0,094004;0,023710000000000002;0,25;0,303186;0,6345000000000001;0,023710000000000002
mnist;0,5;0,10225;0,033887999999999995;0,013923000000000008;0,295525;0,18661899999999998;0,47407200000000005;0,013923000000000008
mnist;0,75;0,10157000000000001;0,02217499999999999;0,013498999999999983;0,231746;0,06763099999999997;0,20701200000000003;0,013498999999999983
mnist;0,95;0,10703999999999995;0,08309499999999995;0,005780999999999992;0,16113499999999997;0,304415;0,02210600000000006;0,005780999999999992
mnist_2;0,05;0,10956249999999998;;;;;;
mnist_2;0,25;0,08484;;;;;;
mnist_2;0,5;0,11134;;;;;;
mnist_2;0,75;0,11365;;;;;;
mnist_2;0,95;0,07448571428571434;;;;;;
mnist_3;0,05;0,13926666666666668;;;;;;
mnist_3;0,25;0,10046;;;;;;
mnist_3;0,5;0,11513999999999999;;;;;;
mnist_3;0,75;0,06725000000000002;;;;;;
mnist_3;0,95;0,049000000000000155;;;;;;
