accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,92525;0,67645;0,95;0,05584;bank;0,8864200000000001;dedpul;0,31143000000000004;0,8864299999999999;4000;1000;0,9679200000000001;0;0,95;0,95289;0,8537600000000001
0,92525;0,67645;0,95;0,05584;bank;0,8864200000000001;random_dedpul;0,31143000000000004;0,8864299999999999;4000;1000;0,9679200000000001;0;0,95;0,95289;0,8537600000000001
0,8995;0,73632;0,95;0,08635;bank;0,83135;baseline_dedpul;1,5064600000000001;0,83595;4000;1000;0,97511;0;0,95;0,91763;0,85372
0,79025;0,77355;0,95;0,18613;bank;0,44664;e1_en;3,3917900000000003;0,66093;4000;1000;0,98398;0;0,95;0,7921100000000001;0,84711
0,89125;0,75092;0,95;0,09639;bank;0,7231;e3_en;1,38066;0,79233;4000;1000;0,97703;0;0,95;0,90684;0,85349
0,94975;0,50461;0,95;0,04571;bank;0,9840000000000001;em_en;0,19188;0,98514;4000;1000;0,95044;0;0,95;0,99921;0,85472
0,91;0,73474;0,95;0,06105;bank;0,8646299999999999;dedpul;0,36391999999999997;0,86464;4000;1000;0,9746100000000001;1;0,95;0,92947;0,8529200000000001
0,91;0,73474;0,95;0,06105;bank;0,8646299999999999;random_dedpul;0,36391999999999997;0,86464;4000;1000;0,9746100000000001;1;0,95;0,92947;0,8529200000000001
0,8875;0,77263;0,95;0,10177;bank;0,78425;baseline_dedpul;1,3434700000000002;0,79691;4000;1000;0,97967;1;0,95;0,9002600000000001;0,85267
0,7325;0,77868;0,95;0,22723000000000002;bank;0,44537;e1_en;4,22504;0,61861;4000;1000;0,98785;1;0,95;0,72737;0,84006
0,8625;0,78079;0,95;0,11582999999999999;bank;0,70598;e3_en;1,38875;0,75578;4000;1000;0,98162;1;0,95;0,8715799999999999;0,85283
0,9495;0,49973999999999996;0,95;0,0466;bank;0,9874;em_en;0,1989;0,98741;4000;1000;0,9499700000000001;1;0,95;0,9994700000000001;0,85315
0,91125;0,71882;0,95;0,07699;bank;0,8467399999999999;dedpul;0,7961;0,8467399999999999;4000;1000;0,97282;2;0,95;0,93263;0,86192
0,91125;0,71882;0,95;0,07699;bank;0,8467399999999999;random_dedpul;0,7961;0,8467399999999999;4000;1000;0,97282;2;0,95;0,93263;0,86192
0,90725;0,74039;0,95;0,08875;bank;0,82042;baseline_dedpul;1,3427799999999999;0,82747;4000;1000;0,9753299999999999;2;0,95;0,92579;0,8610700000000001
0,78625;0,80934;0,95;0,19521;bank;0,54796;e1_en;3,6762;0,6529;4000;1000;0,9890399999999999;2;0,95;0,78368;0,85193
0,89625;0,75592;0,95;0,09226000000000001;bank;0,7985;e3_en;1,31447;0,8012600000000001;4000;1000;0,9774299999999999;2;0,95;0,91184;0,861
0,9015;0,75158;0,95;0,0878;bank;0,8093100000000001;em_en;1,23535;0,8093199999999999;4000;1000;0,9767600000000001;2;0,95;0,9181600000000001;0,86114
0,903;0,68842;0,95;0,07718;bank;0,84946;dedpul;0,7813399999999999;0,8494700000000001;4000;1000;0,9697100000000001;3;0,95;0,92684;0,8267700000000001
0,903;0,68842;0,95;0,07718;bank;0,84946;random_dedpul;0,7813399999999999;0,8494700000000001;4000;1000;0,9697100000000001;3;0,95;0,92684;0,8267700000000001
0,894;0,7144699999999999;0,95;0,09984;bank;0,80657;baseline_dedpul;1,66884;0,8146800000000001;4000;1000;0,97283;3;0,95;0,91395;0,82544
0,7565;0,75579;0,95;0,20888;bank;0,5402899999999999;e1_en;3,86898;0,64753;4000;1000;0,98324;3;0,95;0,75658;0,81925
0,8859999999999999;0,715;0,95;0,10078;bank;0,7931600000000001;e3_en;1,43763;0,7974899999999999;4000;1000;0,9731200000000001;3;0,95;0,905;0,82663
0,89675;0,71118;0,95;0,09336;bank;0,81053;em_en;1,28017;0,81053;4000;1000;0,9723799999999999;3;0,95;0,91737;0,8267399999999999
0,9135;0,65842;0,95;0,06867000000000001;bank;0,87202;dedpul;0,61487;0,87203;4000;1000;0,96625;4;0,95;0,94184;0,7994
0,9135;0,65842;0,95;0,06867000000000001;bank;0,87202;random_dedpul;0,61487;0,87203;4000;1000;0,96625;4;0,95;0,94184;0,7994
0,889;0,69053;0,95;0,09836;bank;0,81481;baseline_dedpul;1,47516;0,82414;4000;1000;0,97029;4;0,95;0,91105;0,7984600000000001
