accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,9836;0,49677;0,01;0,01439;0,00632;laplace;1;1;0,0056;dedpul;0,37565;0,01142;0,0056;0,0;0;0,0;0,06519;0,49535
0,9836;0,49677;0,01;0,01439;0,00632;laplace;1;1;0,0056;random_dedpul;0,37565;0,01142;0,0056;0,0;0;0,0;0,06519;0,49535
0,9824;0,49616000000000005;0,01;0,04696;0,00632;laplace;1;1;0,28331999999999996;baseline_dedpul;0,27057;0,17720999999999998;0,18278;0,0;0;0,0;0,19588;0,5705
0,99;0,5;0,01;0,01078;0,00632;laplace;1;1;0,0;e1_en;0,20110999999999998;0,01788;0,016730000000000002;0,0;0;0,0;0,03174;0,54875
0,99;0,5;0,01;0,01237;0,00632;laplace;1;1;0,03972;e3_en;0,09122000000000001;0,03997;0,044719999999999996;0,0;0;0,0;0,05346;0,56415
0,99;0,5;0,01;0,01139;0,00632;laplace;1;1;0,021;em_en;0,1165;0,027880000000000002;0,029089999999999998;0,0;0;0,0;0,04177;0,5717300000000001
0,99;0,5;0,01;0,011170000000000001;0,00632;laplace;1;1;0,035160000000000004;dedpul;0,10046000000000001;0,02845;0,03517;0,0;1;0,0;0,03947;0,74012
0,99;0,5;0,01;0,011170000000000001;0,00632;laplace;1;1;0,035160000000000004;random_dedpul;0,10046000000000001;0,02845;0,03517;0,0;1;0,0;0,03947;0,74012
0,99;0,5;0,01;0,0516;0,00632;laplace;1;1;0,25073;baseline_dedpul;0,24606;0,1743;0,18102000000000001;0,0;1;0,0;0,20736999999999997;0,73611
0,99;0,5;0,01;0,01239;0,00632;laplace;1;1;0,0;e1_en;0,10475;0,03321;0,03993;0,0;1;0,0;0,0532;0,73751
0,99;0,5;0,01;0,03449;0,00632;laplace;1;1;0,14482;e3_en;0,19489;0,14494;0,15167;0,0;1;0,0;0,16018;0,73666
0,99;0,5;0,01;0,016819999999999998;0,00632;laplace;1;1;0,052000000000000005;em_en;0,12361;0,06656000000000001;0,07329;0,0;1;0,0;0,08659;0,73841
0,9884;0,49918999999999997;0,01;0,0115;0,00632;laplace;1;1;0,00244;dedpul;0,33958;0,0088;0,00244;0,0;2;0,0;0,0416;0,5142100000000001
0,9884;0,49918999999999997;0,01;0,0115;0,00632;laplace;1;1;0,00244;random_dedpul;0,33958;0,0088;0,00244;0,0;2;0,0;0,0416;0,5142100000000001
0,9884;0,49918999999999997;0,01;0,0424;0,00632;laplace;1;1;0,34915999999999997;baseline_dedpul;0,21531999999999998;0,15068;0,15364;0,0;2;0,0;0,18367999999999998;0,46995
0,99;0,5;0,01;0,01012;0,00632;laplace;1;1;0,0;e1_en;0,2091;0,012190000000000001;0,01063;0,0;2;0,0;0,0199;0,49086
0,99;0,5;0,01;0,01254;0,00632;laplace;1;1;0,05271;e3_en;0,09945;0,051820000000000005;0,05516;0,0;2;0,0;0,05656;0,48066000000000003
0,99;0,5;0,01;0,0394;0,00632;laplace;1;1;0,17919000000000002;em_en;0,21423000000000003;0,17301;0,1792;0,0;2;0,0;0,17594;0,47981
0,9732;0,51131;0,01;0,029539999999999997;0,00632;laplace;1;1;0,05798;dedpul;0,31351;0,0542;0,05798;0,02273;3;0,04;0,14027;0,5583100000000001
0,9732;0,51131;0,01;0,029539999999999997;0,00632;laplace;1;1;0,05798;random_dedpul;0,31351;0,0542;0,05798;0,02273;3;0,04;0,14027;0,5583100000000001
0,9359999999999999;0,55192;0,01;0,054220000000000004;0,00632;laplace;1;1;0,24821;baseline_dedpul;0,36998000000000003;0,1195;0,124;0,02797;3;0,16;0,21011;0,56972
0,9896;0,5196;0,01;0,013980000000000001;0,00632;laplace;1;1;0,0;e1_en;0,23606999999999997;0,02462;0,02731;0,33333;3;0,04;0,06414;0,56642
0,9888;0,5191899999999999;0,01;0,01747;0,00632;laplace;1;1;0,060520000000000004;e3_en;0,0952;0,05557;0,06185;0,2;3;0,04;0,08816;0,6158899999999999
0,9888;0,5191899999999999;0,01;0,01624;0,00632;laplace;1;1;0,045;em_en;0,11077000000000001;0,042460000000000005;0,04862;0,2;3;0,04;0,08019;0,61202
0,988;0,49899;0,01;0,012709999999999999;0,00632;laplace;1;1;0,0057399999999999994;dedpul;0,36456;0,011009999999999999;0,0057399999999999994;0,0;4;0,0;0,05337000000000001;0,50608
0,988;0,49899;0,01;0,012709999999999999;0,00632;laplace;1;1;0,0057399999999999994;random_dedpul;0,36456;0,011009999999999999;0,0057399999999999994;0,0;4;0,0;0,05337000000000001;0,50608
0,988;0,49899;0,01;0,01929;0,00632;laplace;1;1;0,20481;baseline_dedpul;0,16153;0,06858;0,07375;0,0;4;0,0;0,09915;0,53337
0,99;0,5;0,01;0,01022;0,00632;laplace;1;1;0,0;e1_en;0,19812000000000002;0,00848;0,007529999999999999;0,0;4;0,0;0,01815;0,55213
0,99;0,5;0,01;0,01059;0,00632;laplace;1;1;0,02454;e3_en;0,07662000000000001;0,020819999999999998;0,02595;0,0;4;0,0;0,028589999999999997;0,54423
0,99;0,5;0,01;0,01023;0,00632;laplace;1;1;0,002;em_en;0,17517;0,008879999999999999;0,008440000000000001;0,0;4;0,0;0,01855;0,55979
0,99;0,5;0,01;0,0519;0,00632;laplace;1;1;0,14597000000000002;dedpul;0,50502;0,15166;0,14598;0,0;5;0,0;0,20521999999999999;0,21955999999999998
0,99;0,5;0,01;0,0519;0,00632;laplace;1;1;0,14597000000000002;random_dedpul;0,50502;0,15166;0,14598;0,0;5;0,0;0,20521999999999999;0,21955999999999998
0,8364;0,42241999999999996;0,01;0,13230999999999998;0,00632;laplace;1;1;0,36205;baseline_dedpul;0,4461;0,30577;0,30948000000000003;0,0;5;0,0;0,35157;0,20332
0,99;0,5;0,01;0,01137;0,00632;laplace;1;1;0,0038299999999999996;e1_en;0,35009;0,033460000000000004;0,028110000000000003;0,0;5;0,0;0,038919999999999996;0,19952999999999999
0,99;0,5;0,01;0,030410000000000003;0,00632;laplace;1;1;0,13837;e3_en;0,20001;0,13401;0,13794;0,0;5;0,0;0,14592;0,19559
0,99;0,5;0,01;0,02866;0,00632;laplace;1;1;0,13114;em_en;0,19317;0,12753;0,13115;0,0;5;0,0;0,13956;0,19577
0,99;0,5;0,01;0,01018;0,00632;laplace;1;1;0,00566;dedpul;0,35115;0,01172;0,0056700000000000006;0,0;6;0,0;0,01708;0,40525
0,99;0,5;0,01;0,01018;0,00632;laplace;1;1;0,00566;random_dedpul;0,35115;0,01172;0,0056700000000000006;0,0;6;0,0;0,01708;0,40525
0,99;0,5;0,01;0,08634;0,00632;laplace;1;1;0,34778000000000003;baseline_dedpul;0,46481000000000006;0,24423000000000003;0,24125;0,0;6;0,0;0,28005;0,319
0,99;0,5;0,01;0,01059;0,00632;laplace;1;1;0,0;e1_en;0,25501;0,026019999999999998;0,0208;0,0;6;0,0;0,030019999999999998;0,34164
0,99;0,5;0,01;0,01874;0,00632;laplace;1;1;0,08859;e3_en;0,16159;0,08866;0,09121;0,0;6;0,0;0,09858;0,33288
0,99;0,5;0,01;0,01245;0,00632;laplace;1;1;0,034;em_en;0,22965;0,04823;0,044660000000000005;0,0;6;0,0;0,0544;0,3237
0,9848;0,49737;0,01;0,01485;0,00632;laplace;1;1;0,025480000000000003;dedpul;0,3351;0,028489999999999998;0,025480000000000003;0,0;7;0,0;0,06926;0,4731
