distribution;estimator;random_state;dmu;ds;alpha;cons_alpha;est_alpha;mean_poster;accuracy;roc;mae;rmse;log_loss;precision;recall;accuracy_balanced;brier_score
laplace;dedpul;0;1;1;0,01;0,00632;0,00826;0,0063100000000000005;0,9872;0,52535;0,01114;0,053320000000000006;0,36404000000000003;0,0;0,0;0,49859;0,012830000000000001
laplace;random_dedpul;0;1;1;0,01;0,00632;0,00826;0,0063100000000000005;0,9872;0,52535;0,01114;0,053320000000000006;0,36404000000000003;0,0;0,0;0,49859;0,012830000000000001
laplace;baseline_dedpul;0;1;1;0,01;0,00632;0,00632;0,00619;0,9872;0,50781;0,01103;0,05322;0,37485;0,0;0,0;0,49859;0,012819999999999998
laplace;e1_en;0;1;1;0,01;0,00632;0,00632;0,014769999999999998;0,99;0,50217;0,01766;0,02638;0,21173000000000003;0,0;0,0;0,5;0,01042
laplace;e3_en;0;1;1;0,01;0,00632;0,00632;0,014769999999999998;0,99;0,50217;0,01766;0,02638;0,21173000000000003;0,0;0,0;0,5;0,01042
laplace;em_en;0;1;1;0,01;0,00632;0,00632;0,014769999999999998;0,99;0,50217;0,01766;0,02638;0,21173000000000003;0,0;0,0;0,5;0,01042
laplace;dedpul;1;1;1;0,01;0,00632;0,07255;0,00632;0,99;0,56947;0,00865;0,029639999999999996;0,27771999999999997;0,0;0,0;0,5;0,010759999999999999
laplace;random_dedpul;1;1;1;0,01;0,00632;0,07255;0,00632;0,99;0,56947;0,00865;0,029639999999999996;0,27771999999999997;0,0;0,0;0,5;0,010759999999999999
laplace;baseline_dedpul;1;1;1;0,01;0,00632;0,00632;0,0024;0,99;0,5069600000000001;0,00838;0,02531;0,33510999999999996;0,0;0,0;0,5;0,01051
laplace;e1_en;1;1;1;0,01;0,00632;0,00632;0,04191;0,99;0,7205199999999999;0,03519;0,0552;0,09536;0,0;0,0;0,5;0,0127
laplace;e3_en;1;1;1;0,01;0,00632;0,00632;0,04191;0,99;0,7205199999999999;0,03519;0,0552;0,09536;0,0;0,0;0,5;0,0127
laplace;em_en;1;1;1;0,01;0,00632;0,00632;0,04191;0,99;0,7205199999999999;0,03519;0,0552;0,09536;0,0;0,0;0,5;0,0127
laplace;dedpul;2;1;1;0,01;0,00632;0,01778;0,00632;0,99;0,47956000000000004;0,01011;0,014230000000000001;0,2534;0,0;0,0;0,5;0,00992
laplace;random_dedpul;2;1;1;0,01;0,00632;0,01778;0,00632;0,99;0,47956000000000004;0,01011;0,014230000000000001;0,2534;0,0;0,0;0,5;0,00992
laplace;baseline_dedpul;2;1;1;0,01;0,00632;0,00632;0,0018399999999999998;0,99;0,48025;0,0069900000000000006;0,011909999999999999;0,25253000000000003;0,0;0,0;0,5;0,009890000000000001
laplace;e1_en;2;1;1;0,01;0,00632;0,00632;0,018690000000000002;0,99;0,44238999999999995;0,020380000000000002;0,02575;0,15667;0,0;0,0;0,5;0,01025
laplace;e3_en;2;1;1;0,01;0,00632;0,00632;0,018690000000000002;0,99;0,44238999999999995;0,020380000000000002;0,02575;0,15667;0,0;0,0;0,5;0,01025
laplace;em_en;2;1;1;0,01;0,00632;0,00632;0,018690000000000002;0,99;0,44238999999999995;0,020380000000000002;0,02575;0,15667;0,0;0,0;0,5;0,01025
laplace;dedpul;3;1;1;0,01;0,00632;-2,2583;0,00632;0,986;0,5150899999999999;0,01211;0,07142000000000001;0,46019;0,08333;0,04;0,51778;0,014469999999999998
laplace;random_dedpul;3;1;1;0,01;0,00632;-2,2583;0,00632;0,986;0,5150899999999999;0,01211;0,07142000000000001;0,46019;0,08333;0,04;0,51778;0,014469999999999998
laplace;baseline_dedpul;3;1;1;0,01;0,00632;0,00632;0,04328;0,976;0,5609;0,03973;0,12800999999999998;0,38082;0,027030000000000002;0,04;0,51273;0,02609
laplace;e1_en;3;1;1;0,01;0,00632;0,00632;0,03;0,9896;0,55203;0,02694;0,06609;0,23789000000000002;0,33333;0,04;0,5196;0,01427
laplace;e3_en;3;1;1;0,01;0,00632;0,00632;0,03;0,9896;0,55203;0,02694;0,06609;0,23789000000000002;0,33333;0,04;0,5196;0,01427
laplace;em_en;3;1;1;0,01;0,00632;0,00632;0,03;0,9896;0,55203;0,02694;0,06609;0,23789000000000002;0,33333;0,04;0,5196;0,01427
laplace;dedpul;4;1;1;0,01;0,00632;-0,04807;0,00632;0,9852;0,50538;0,0116;0,06587;0,41553;0,0;0,0;0,49758;0,014430000000000002
